t,u,xd,x,I
1.859999,0.175151,0.184929,0.188350,-18.000000
1.869999,-0.580667,0.185912,0.189485,-14.000000
1.879999,0.098852,0.186894,0.190997,3.000000
1.889999,0.206733,0.187877,0.190997,3.000000
1.899999,-0.026198,0.188859,0.191870,14.000000
1.909999,-0.567136,0.189841,0.192801,31.000000
1.919999,-0.048117,0.190822,0.194022,40.000000
1.929999,0.577223,0.191804,0.194691,44.000000
1.939999,-0.577056,0.192785,0.195244,36.000000
1.949998,-0.567199,0.193766,0.196902,30.000000
1.959998,0.593274,0.194747,0.198037,-28.000000
1.969998,0.034718,0.195728,0.198153,15.000000
1.979998,-0.588242,0.196709,0.199317,39.000000
1.989998,-0.563573,0.197689,0.201004,25.000000
1.999998,-0.104659,0.198669,0.202342,26.000000
2.009999,-0.500890,0.199649,0.203215,23.000000
2.019999,-0.557432,0.200629,0.204494,-12.000000
2.029999,0.580902,0.201608,0.205425,66.000000
2.039999,-0.187363,0.202588,0.205513,18.000000
2.049999,-0.557471,0.203567,0.206589,11.000000
2.059999,0.583353,0.204546,0.207694,-8.000000
2.069999,0.527061,0.205525,0.207869,-5.000000
2.079998,-0.601969,0.206503,0.209003,28.000000
2.089998,-0.584718,0.207482,0.211418,-79.000000
2.099998,0.593251,0.208460,0.212697,55.000000
2.109998,0.191990,0.209438,0.212581,73.000000
2.119998,-0.445907,0.210415,0.213425,55.000000
2.129998,0.569771,0.211393,0.214530,26.000000
2.139998,0.573468,0.212370,0.214763,-72.000000
2.149998,-0.581115,0.213347,0.215635,-45.000000
2.159998,0.573468,0.214324,0.217381,-4.000000
2.169998,0.567287,0.215301,0.217643,9.000000
2.179998,-0.571285,0.216277,0.218341,42.000000
2.189998,0.244012,0.217253,0.219882,41.000000
2.199998,0.573441,0.218229,0.220377,56.000000
2.209998,-0.544436,0.219205,0.220842,45.000000
2.219998,-0.337301,0.220181,0.222151,34.000000
2.229998,0.569710,0.221156,0.222879,40.000000
2.239998,0.569703,0.222131,0.223082,36.000000
2.249998,-0.598553,0.223106,0.224129,-21.000000
2.259998,-0.598589,0.224081,0.226515,60.000000
2.269998,-0.557861,0.225055,0.228318,-58.000000
2.279998,0.580834,0.226030,0.229278,6.000000
2.289998,-0.420268,0.227004,0.229685,6.000000
2.299998,-0.571491,0.227977,0.231198,-45.000000
2.309998,0.569702,0.228951,0.232391,4.000000
2.319998,-0.577701,0.229924,0.233001,54.000000
2.329998,-0.571548,0.230897,0.234921,-18.000000
2.339998,0.577106,0.231870,0.236114,46.000000
2.349998,-0.557996,0.232843,0.236318,2.000000
2.359998,0.577092,0.233815,0.237597,-64.000000
2.369998,-0.561731,0.234787,0.238150,34.000000
2.379998,0.351913,0.235759,0.239517,-3.000000
2.389998,-0.088495,0.236731,0.240041,-28.000000
2.399998,-0.492365,0.237702,0.240972,-16.000000
2.409998,0.593107,0.238674,0.241786,-67.000000
2.419998,0.041720,0.239645,0.241757,-5.000000
2.429998,0.315772,0.240615,0.242455,25.000000
2.439998,0.569616,0.241586,0.243212,-45.000000
2.449998,-0.052432,0.242556,0.244026,52.000000
2.459998,0.339642,0.243526,0.245131,49.000000
2.469998,0.569586,0.244496,0.245801,-72.000000
2.479998,0.009806,0.245465,0.246353,85.000000
2.489998,-0.564365,0.246435,0.247488,10.000000
2.499998,0.586855,0.247404,0.248738,55.000000
2.509998,0.463431,0.248373,0.248826,-40.000000
2.519998,-0.581713,0.249341,0.249611,80.000000
2.529998,-0.589151,0.250309,0.251444,-60.000000
2.539998,-0.564469,0.251277,0.253131,-71.000000
2.549998,0.567077,0.252245,0.254207,92.000000
2.559998,-0.562027,0.253213,0.254411,58.000000
2.569998,-0.548173,0.254180,0.255633,-51.000000
2.579998,0.592993,0.255147,0.256302,48.000000
2.589998,0.563345,0.256114,0.256156,-41.000000
2.599998,-0.605343,0.257080,0.257291,-37.000000
2.609998,-0.589320,0.258047,0.259705,-9.000000
2.619998,0.011090,0.259013,0.261276,1.000000
2.629998,0.291024,0.259978,0.261916,14.000000
2.639998,-0.581961,0.260944,0.262847,-76.000000
2.649998,0.567040,0.261909,0.264388,27.000000
2.659998,0.290581,0.262874,0.264796,2.000000
2.669998,-0.564712,0.263839,0.265639,1.000000
2.679998,0.576895,0.264803,0.266715,-25.000000
2.689998,0.592955,0.265767,0.266570,74.000000
2.699998,-0.186240,0.266731,0.267035,63.000000
2.709998,0.583063,0.267695,0.268054,67.000000
2.719998,0.523409,0.268658,0.268432,-50.000000
2.729998,-0.578423,0.269621,0.269333,63.000000
2.739998,0.569454,0.270584,0.270991,56.000000
2.749998,0.590456,0.271547,0.271428,-56.000000
2.759998,-0.356382,0.272509,0.272097,-21.000000
2.769998,-0.153977,0.273471,0.273435,40.000000
2.779998,0.592909,0.274433,0.274104,47.000000
2.789998,0.576849,0.275394,0.274220,-22.000000
2.799998,-0.572394,0.276355,0.274977,-16.000000
2.809998,0.168606,0.277316,0.276547,-20.000000
2.819998,0.343911,0.278277,0.277391,70.000000
2.829998,-0.578618,0.279237,0.278293,10.000000
2.839998,-0.572460,0.280197,0.279951,-64.000000
2.849998,0.473872,0.281157,0.281289,68.000000
2.859998,-0.589797,0.282117,0.282249,41.000000
2.869998,-0.599716,0.283076,0.284518,47.000000
2.879998,-0.558962,0.284035,0.286467,65.000000
2.889998,0.576794,0.284994,0.287339,-14.000000
2.899998,-0.562705,0.285952,0.287514,-71.000000
2.909998,-0.142021,0.286910,0.288881,-40.000000
2.919998,0.592834,0.287868,0.289521,-72.000000
2.929998,-0.578835,0.288825,0.289899,-45.000000
2.939998,-0.364316,0.289783,0.291528,-51.000000
2.949998,0.618784,0.290740,0.292110,-73.000000
2.959998,-0.447512,0.291696,0.291964,36.000000
2.969998,0.569343,0.292653,0.293012,22.000000
2.979998,0.576752,0.293609,0.293215,-14.000000
2.989998,-0.576503,0.294564,0.293972,2.000000
2.999998,0.582924,0.295520,0.295542,63.000000
3.009998,0.582924,0.296475,0.295833,14.000000
3.019998,-0.565451,0.297430,0.296386,-32.000000
3.029998,0.586621,0.298385,0.297666,-2.000000
